,title,mean rating,number of ratings
1210,Suicide Club (Jisatsu saakuru) (2001),3.12,4
1211,Battlestar Galactica (2003),3.82,19
1212,"Sound of Thunder, A (2005)",2.75,2
1213,"Lion King 1½, The (2004)",4.5,2
1214,Oasis (2002),4.5,1
1215,Remember Me (Ricordati di me) (2003),3.5,1
1216,"Animatrix, The (2003)",3.7,20
1217,"Brown Bunny, The (2003)",3.25,2
1218,Ju-on: The Curse (2000),3.0,1
1219,11:14 (2003),3.75,4
1220,Tremors 4: The Legend Begins (2004),2.0,1
1221,Bring It On Again (2004),1.75,2
1222,"Crimson Rivers 2: Angels of the Apocalypse (Rivières pourpres II - Les anges de l'apocalypse, Les) (2004)",2.5,1
1223,And Starring Pancho Villa as Himself (2003),3.5,1
1224,Nicotina (2003),3.0,1
1225,Battle Royale 2: Requiem (Batoru rowaiaru II: Chinkonka) (2003),5.0,1
1226,In Hell (2003),1.5,1
1227,Lemony Snicket's A Series of Unfortunate Events (2004),3.16,25
1228,Helen of Troy (2003),4.0,1
1229,"Green Butchers, The (Grønne slagtere, De) (2003)",4.5,1
1230,"Very Long Engagement, A (Un long dimanche de fiançailles) (2004)",3.67,6
1231,Last Life in the Universe (Ruang rak noi nid mahasan) (2003),4.17,3
1232,Ghost in the Shell 2: Innocence (a.k.a. Innocence) (Inosensu) (2004),2.17,3
1233,"Cat Returns, The (Neko no ongaeshi) (2002)",3.75,8
1234,"Twilight Samurai, The (Tasogare Seibei) (2002)",3.83,6
1235,"Facing Windows (Finestra di fronte, La) (2003)",4.5,1
1236,Ginger Snaps: Unleashed (2004),3.0,1
1237,'Salem's Lot (2004),5.0,1
1238,Comic Book: The Movie (2004),2.5,1
1239,Intimate Strangers (Confidences trop intimes) (2004),3.75,2
1240,Down to the Bone (2004),3.0,1
1241,Ju-on: The Grudge (2002),2.58,6
1242,Old Boy (2003),4.09,39
1243,Red Lights (Feux rouges) (2004),4.5,1
1244,Ginger Snaps Back: The Beginning (2004),3.0,1
1245,One Missed Call (Chakushin ari) (2003),1.5,1
1246,"Jacket, The (2005)",3.0,8
1247,Millions (2004),3.5,4
1248,Starship Troopers 2: Hero of the Federation (2004),1.5,2
1249,Ong-Bak: The Thai Warrior (Ong Bak) (2003),4.0,12
1250,Infernal Affairs 2 (Mou gaan dou II) (2003),3.0,1
1251,"Sea Inside, The (Mar adentro) (2004)",4.0,8
1252,Spanglish (2004),3.36,11
1253,"Chorus, The (Choristes, Les) (2004)",3.91,11
1254,Saints and Soldiers (2003),2.5,1
1255,"Story of the Weeping Camel, The (Geschichte vom weinenden Kamel, Die) (2003)",4.0,2
1256,"Interpreter, The (2005)",3.25,6
1257,Open Water (2003),2.7,5
1258,Touch of Pink (2004),4.0,1
1259,Slasher (2004),3.5,1
1260,"Bobby Jones, Stroke of Genius (2004)",2.5,1
1261,Layer Cake (2004),3.82,19
1262,"Return, The (Vozvrashcheniye) (2003)",4.33,3
1263,Flight of the Phoenix (2004),2.88,4
1264,Mean Creek (2004),3.75,2
1265,"Ring Two, The (2005)",2.3,5
1266,"Corporation, The (2003)",3.9,10
1267,"Yes Men, The (2003)",3.75,2
1268,Azumi (2003),2.75,2
1269,In My Father's Den (2004),3.5,1
1270,Tae Guk Gi: The Brotherhood of War (Taegukgi hwinalrimyeo) (2004),4.5,1
1271,Metallica: Some Kind of Monster (2004),3.17,3
1272,Born into Brothels (2004),3.88,4
1273,DiG! (2004),4.12,4
1274,Riding Giants (2004),4.0,4
1275,What the #$*! Do We Know!? (a.k.a. What the Bleep Do We Know!?) (2004),2.75,2
1276,"Scanner Darkly, A (2006)",3.61,22
1277,Casshern (2004),3.5,1
1278,Outfoxed: Rupert Murdoch's War on Journalism (2004),3.3,5
1279,Million Dollar Baby (2004),3.85,52
1280,Gozu (Gokudô kyôfu dai-gekijô: Gozu) (2003),4.75,2
1281,Hotel Rwanda (2004),3.79,48
1282,Charlie and the Chocolate Factory (2005),3.0,61
1283,3-Iron (Bin-jip) (2004),4.5,3
1284,"Life Aquatic with Steve Zissou, The (2004)",3.49,37
1285,"Aviator, The (2004)",3.53,35
1286,"Phantom of the Opera, The (2004)",3.17,12
1287,Beyond the Sea (2004),2.0,1
1288,"Woodsman, The (2004)",3.83,3
1289,In Good Company (2004),3.45,11
1290,Meet the Fockers (2004),3.11,33
1291,"Assassination of Richard Nixon, The (2004)",3.5,2
1292,"Love Song for Bobby Long, A (2004)",3.17,3
1293,"Merchant of Venice, The (2004)",3.75,4
1294,Fat Albert (2004),1.5,2
1295,"Keys to the House, The (Chiavi di casa, Le) (2004)",3.0,1
1296,White Noise (2005),2.5,8
1297,"Upside of Anger, The (2005)",3.17,3
1298,Stander (2003),3.5,2
1299,Imaginary Heroes (2004),3.0,2
1300,Ruby & Quentin (Tais-toi!) (2003),2.5,1
1301,"Life and Death of Peter Sellers, The (2004)",3.0,1
1302,Appleseed (Appurushîdo) (2004),3.83,3
1303,Elektra (2005),2.05,10
1304,Racing Stripes (2005),2.0,1
1305,Coach Carter (2005),3.07,7
1306,Memories of Murder (Salinui chueok) (2003),4.7,5
1307,"Downfall (Untergang, Der) (2004)",3.88,20
1308,Assault on Precinct 13 (2005),3.19,8
1309,Are We There Yet? (2005),0.5,1
1310,Alone in the Dark (2005),0.5,1
1311,Hide and Seek (2005),2.33,6
1312,Boogeyman (2005),2.0,2
1313,"Wedding Date, The (2005)",3.14,11
1314,Rory O'Shea Was Here (Inside I'm Dancing) (2004),4.5,1
1315,Nobody Knows (Dare mo shiranai) (2004),4.25,2
1316,Employee of the Month (2004),2.25,2
1317,Purple Butterfly (Zi hudie) (2003),4.0,1
1318,Howl's Moving Castle (Hauru no ugoku shiro) (2004),4.08,40
1319,Steamboy (Suchîmubôi) (2004),3.0,2
1320,Hitch (2005),3.17,45
1321,Uncle Nino (2003),0.5,1
1322,Bride & Prejudice (2004),3.25,2
1323,Constantine (2005),3.47,35
1324,Son of the Mask (2005),1.0,1
1325,Because of Winn-Dixie (2005),3.17,3
1326,Turtles Can Fly (Lakposhtha hâm parvaz mikonand) (2004),4.0,1
1327,Night Watch (Nochnoy dozor) (2004),3.25,4
1328,Man of the House (2005),3.0,1
1329,Kung Fu Hustle (Gong fu) (2004),3.58,19
1330,Zelary (2003),4.0,1
1331,Control (Kontroll) (2003),3.5,1
1332,Tyler Perry's Diary of a Mad Black Woman (2005),2.67,3
1333,Cursed (2005),2.17,6
1334,"Pacifier, The (2005)",2.71,7
1335,Be Cool (2005),2.44,8
1336,Gunner Palace (2004),3.67,3
1337,Hostage (2005),3.05,10
1338,Robots (2005),3.03,19
1339,Cube Zero (2004),2.67,3
1340,Stealing Rembrandt (Rembrandt) (2003),3.5,1
1341,Ice Princess (2005),3.38,4
1342,Melinda and Melinda (2004),3.1,5
1343,Milk and Honey (2003),3.5,1
1344,Miss Congeniality 2: Armed and Fabulous (2005),2.25,8
1345,Guess Who (2005),2.33,3
1346,D.E.B.S. (2004),2.83,3
1347,"League of Ordinary Gentlemen, A (2004)",4.0,1
1348,Incident at Loch Ness (2004),3.5,1
1349,800 Bullets (800 Balas) (2002),2.5,1
1350,"Wild Parrots of Telegraph Hill, The (2003)",4.75,2
1351,"Ballad of Jack and Rose, The (2005)",3.12,4
1352,Sin City (2005),3.86,84
1353,Beauty Shop (2005),2.0,1
1354,Sahara (2005),3.07,7
1355,Fever Pitch (2005),2.94,8
1356,Eros (2004),3.5,1
1357,Not on the Lips (Pas sur la bouche) (2003),3.5,1
1358,Tanguy (2001),2.5,1
1359,National Lampoon's Lady Killers (National Lampoon's Gold Diggers) (2003),1.0,1
1360,Ringu 0: Bâsudei (2000),3.0,1
1361,Brothers (Brødre) (2004),4.25,2
1362,Carrie (2002),3.0,1
1363,"Hitchhiker's Guide to the Galaxy, The (2005)",3.42,44
1364,"Amityville Horror, The (2005)",2.25,6
1365,Mutant Aliens (2001),4.0,2
1366,Before the Fall (NaPolA - Elite für den Führer) (2004),3.5,1
1367,State Property 2 (2005),1.5,1
1368,Palindromes (2004),5.0,1
1369,"Lot Like Love, A (2005)",3.0,6
1370,King's Ransom (2005),2.5,1
1371,Enron: The Smartest Guys in the Room (2005),4.0,6
1372,xXx: State of the Union (2005),2.0,5
1373,Kingdom of Heaven (2005),3.5,17
1374,House of Wax (2005),1.83,6
1375,Crash (2004),3.89,50
1376,Mysterious Skin (2004),2.0,2
1377,"Common Thread, A (a.k.a. Sequins) (Brodeuses) (2004)",4.5,1
1378,Dear Wendy (2005),3.67,3
1379,Los Angeles Plays Itself (2003),3.5,1
1380,Unleashed (Danny the Dog) (2005),3.44,9
1381,Star Wars: Episode III - Revenge of the Sith (2005),3.43,78
1382,Kicking & Screaming (2005),2.64,7
1383,Monster-in-Law (2005),2.5,4
1384,"Snow Walker, The (2003)",3.0,1
1385,Madagascar (2005),3.38,40
1386,Mad Hot Ballroom (2005),3.33,3
1387,Dominion: Prequel to the Exorcist (2005),2.5,1
1388,"Longest Yard, The (2005)",3.11,9
1389,Saving Face (2004),5.0,1
1390,Cinderella Man (2005),4.09,17
1391,"Sisterhood of the Traveling Pants, The (2005)",3.07,7
1392,Lords of Dogtown (2005),3.0,7
1393,Rock School (2005),3.5,3
1394,Mr. & Mrs. Smith (2005),3.28,59
1395,"Adventures of Sharkboy and Lavagirl 3-D, The (2005)",1.75,2
1396,High Tension (Haute tension) (Switchblade Romance) (2003),3.75,2
1397,It's All Gone Pete Tong (2004),3.17,3
1398,Batman Begins (2005),3.86,116
1399,Godzilla: Final Wars (Gojira: Fainaru uôzu) (2004),3.0,1
1400,"Perfect Man, The (2005)",3.0,2
1401,Saint Ralph (2004),2.5,1
1402,Herbie: Fully Loaded (2005),3.17,3
1403,Land of the Dead (2005),3.12,4
1404,Bewitched (2005),2.27,13
1405,Rize (2005),3.5,1
1406,Me and You and Everyone We Know (2005),3.75,4
1407,"Perfect Crime, The (Crimen Ferpecto) (Ferpect Crime) (2004)",4.5,1
1408,3 Extremes (Three... Extremes) (Saam gaang yi) (2004),3.33,3
1409,"Edukators, The (Die Fetten Jahre sind vorbei) (2004)",4.0,5
1410,War of the Worlds (2005),3.15,50
1411,"March of the Penguins (Marche de l'empereur, La) (2005)",3.56,18
1412,Rebound (2005),3.0,1
1413,Dark Water (2005),2.0,3
1414,"Beat That My Heart Skipped, The (battre mon coeur s'est arrêté, De) (2005)",3.0,2
1415,Fantastic Four (2005),2.76,36
1416,Murderball (2005),3.83,3
1417,Wedding Crashers (2005),3.51,58
1418,Happy Endings (2005),3.5,1
1419,Hustle & Flow (2005),3.75,4
1420,"Calcium Kid, The (2004)",5.0,1
1421,"Island, The (2005)",3.35,31
1422,Bad News Bears (2005),3.0,3
1423,"Devil's Rejects, The (2005)",3.71,7
1424,Last Days (2005),3.0,2
1425,November (2004),3.0,1
1426,Sky High (2005),2.92,6
1427,Stealth (2005),2.5,5
1428,Must Love Dogs (2005),2.0,4
1429,"Aristocrats, The (2005)",3.35,10
1430,"Order, The (2001)",3.0,1
1431,Serenity (2005),3.94,50
1432,Broken Flowers (2005),3.48,21
1433,"Dukes of Hazzard, The (2005)",2.08,12
1434,The Chumscrubber (2005),2.0,3
1435,Junebug (2005),3.67,3
1436,Deuce Bigalow: European Gigolo (2005),2.83,3
1437,"Skeleton Key, The (2005)",3.0,4
1438,Four Brothers (2005),3.57,7
1439,The Great Raid (2005),3.17,3
1440,Pretty Persuasion (2005),3.0,1
1441,Grizzly Man (2005),3.7,5
1442,Pusher II: With Blood on My Hands (2004),2.5,1
1443,Duma (2005),3.5,1
1444,"40-Year-Old Virgin, The (2005)",3.55,74
1445,Red Eye (2005),3.39,9
1446,Hidden (a.k.a. Cache) (Caché) (2005),2.5,2
1447,Valiant (2005),1.5,1
1448,"Brothers Grimm, The (2005)",2.62,20
1449,"Baxter, The (2005)",4.0,1
1450,"Cave, The (2005)",2.67,3
1451,"Constant Gardener, The (2005)",3.46,13
1452,Transporter 2 (2005),3.22,16
1453,Just Like Heaven (2005),2.69,8
1454,Proof (2005),3.57,7
1455,Lord of War (2005),3.71,35
1456,Cry_Wolf (a.k.a. Cry Wolf) (2005),2.25,2
1457,Everything Is Illuminated (2005),3.78,9
1458,Thumbsucker (2005),3.33,3
1459,Family Guy Presents Stewie Griffin: The Untold Story (2005),3.71,12
1460,New Police Story (Xin jing cha gu shi) (2004),3.5,1
1461,Why We Fight (2005),3.5,4
1462,Doom (2005),2.15,10
1463,Domino (2005),2.88,8
1464,Waiting... (2005),3.27,13
1465,Aeon Flux (2005),2.76,21
1466,"Unfinished Life, An (2005)",3.0,1
1467,"Man, The (2005)",2.5,1
1468,Survive Style 5+ (2004),3.5,1
1469,"Exorcism of Emily Rose, The (2005)",2.92,6
1470,Flightplan (2005),2.86,11
1471,Corpse Bride (2005),3.53,44
1472,Green Street Hooligans (a.k.a. Hooligans) (2005),3.72,9
1473,"History of Violence, A (2005)",3.5,27
1474,Oliver Twist (2005),3.5,3
1475,"Greatest Game Ever Played, The (2005)",3.3,5
1476,Capote (2005),3.87,23
1477,Final Fantasy VII: Advent Children (2004),3.55,10
1478,Roll Bounce (2005),2.0,1
1479,Into the Blue (2005),2.5,2
1480,MirrorMask (2005),3.61,9
1481,Wallace & Gromit in The Curse of the Were-Rabbit (2005),3.63,30
1482,Kiss Kiss Bang Bang (2005),4.07,35
1483,"Bittersweet Life, A (Dalkomhan insaeng) (2005)",4.17,3
1484,Darwin's Nightmare (2004),4.0,1
1485,Beowulf & Grendel (2005),2.5,1
1486,No Direction Home: Bob Dylan (2005),4.62,4
1487,Goal! The Dream Begins (Goal!) (2005),4.25,2
1488,In Her Shoes (2005),3.12,4
1489,"Squid and the Whale, The (2005)",3.44,9
1490,Two for the Money (2005),3.5,1
1491,Brokeback Mountain (2005),3.56,34
1492,Elizabethtown (2005),3.5,4
1493,North Country (2005),3.5,4
1494,"Good Night, and Good Luck. (2005)",3.78,20
1495,Dreamer: Inspired by a True Story (2005),2.5,1
1496,"Proposition, The (2005)",3.56,8
1497,"Fog, The (2005)",2.1,5
1498,Shopgirl (2005),3.0,7
1499,Stay (2005),3.0,4
1500,"Legend of Zorro, The (2005)",2.9,5
1501,"Weather Man, The (2005)",3.39,9
1502,Saw II (2005),2.81,13
1503,Prime (2005),2.6,5
1504,Don't Move (Non ti muovere) (2004),4.5,1
1505,American Pie Presents: Band Camp (American Pie 4: Band Camp) (2005),2.14,7
1506,"Great Yokai War, The (Yôkai daisensô) (2005)",2.75,2
1507,Manderlay (2005),4.12,4
1508,Revolver (2005),3.36,7
1509,Jarhead (2005),3.68,17
1510,Chicken Little (2005),2.29,7
1511,Dead Man's Shoes (2004),4.75,2
1512,Joyeux Noël (Merry Christmas) (2005),3.7,5
1513,Just Friends (2005),2.92,6
1514,Syriana (2005),3.53,16
1515,One-Way Ticket to Mombasa (Menolippu Mombasaan) (2002),2.0,1
1516,Derailed (2005),3.25,4
1517,Creep (2004),3.0,1
1518,Pride & Prejudice (2005),3.56,27
1519,Wolf Creek (2005),3.25,4
1520,"Descent, The (2005)",3.55,11
1521,Harry Potter and the Goblet of Fire (2005),3.82,71
1522,Walk the Line (2005),3.76,39
1523,Rent (2005),3.15,10
1524,Zathura (2005),3.38,4
1525,C.R.A.Z.Y. (2005),3.5,2
1526,Sarah Silverman: Jesus Is Magic (2005),2.0,2
1527,Breakfast on Pluto (2005),3.88,4
1528,"Ice Harvest, The (2005)",3.67,3
1529,"Yours, Mine and Ours (2005)",3.33,3
1530,"Libertine, The (2004)",3.5,1
1531,Match Point (2005),3.44,17
1532,Paradise Now (2005),4.0,2
1533,"Chronicles of Narnia: The Lion, the Witch and the Wardrobe, The (2005)",3.44,62
1534,King Kong (2005),3.4,40
1535,Memoirs of a Geisha (2005),3.58,12
1536,"Family Stone, The (2005)",2.88,8
1537,Havoc (2005),2.75,2
1538,"Matador, The (2005)",3.21,7
1539,Wal-Mart: The High Cost of Low Price (2005),4.5,1
1540,Mozart and the Whale (2005),2.5,1
1541,"Three Burials of Melquiades Estrada, The (2006)",4.0,5
1542,Munich (2005),3.81,21
1543,"Producers, The (2005)",3.39,9
1544,Transamerica (2005),3.5,6
1545,Rumor Has It... (2005),2.83,3
1546,Cheaper by the Dozen 2 (2005),1.88,4
1547,Fun with Dick and Jane (2005),2.18,11
1548,"Ringer, The (2005)",2.75,4
1549,Casanova (2005),3.0,3
1550,Mrs. Henderson Presents (2005),2.0,2
1551,"New World, The (2005)",3.2,5
1552,Voices of a Distant Star (Hoshi no koe) (2003),4.5,1
1553,"Boys of Baraka, The (2005)",3.5,1
1554,Lady Vengeance (Sympathy for Lady Vengeance) (Chinjeolhan geumjassi) (2005),4.0,5
1555,Grand Theft Parsons (2003),2.5,1
1556,District 13 (Banlieue 13) (2004),3.8,5
1557,Hostel (2005),2.86,11
1558,Grandma's Boy (2006),2.57,7
1559,Tristan & Isolde (2006),3.6,5
1560,Glory Road (2006),3.75,2
1561,Last Holiday (2006),3.5,3
1562,Hoodwinked! (2005),3.25,4
1563,Underworld: Evolution (2006),3.09,16
1564,Looking for Comedy in the Muslim World (2005),3.5,1
1565,Water (2005),3.5,1
1566,Sophie Scholl: The Final Days (Sophie Scholl - Die letzten Tage) (2005),4.62,4
1567,"World's Fastest Indian, The (2005)",3.79,7
1568,Bandidas (2006),1.0,1
1569,Tristram Shandy: A Cock and Bull Story (2005),3.33,3
1570,Helter Skelter (2004),3.5,1
1571,Annapolis (2006),2.75,2
1572,Big Momma's House 2 (2006),2.0,1
1573,Nanny McPhee (2005),3.17,6
1574,Final Destination 3 (2006),2.83,9
1575,Something New (2006),4.5,1
1576,Block Party (a.k.a. Dave Chappelle's Block Party) (2005),3.17,3
1577,Imagine Me & You (2005),3.5,1
1578,"Pink Panther, The (2006)",2.86,7
1579,Curious George (2006),3.5,2
1580,Firewall (2006),2.75,8
1581,When a Stranger Calls (2006),1.3,5
1582,London (2005),3.0,1
1583,Freedomland (2006),2.0,1
1584,Winter Passing (2005),4.0,1
1585,Eight Below (2006),3.0,4
1586,Date Movie (2006),0.83,3
1587,Running Scared (2006),3.3,5
1588,Ultraviolet (2006),1.92,13
1589,Just My Luck (2006),3.0,1
1590,Pulse (2006),1.75,2
1591,16 Blocks (2006),3.0,9
1592,Failure to Launch (2006),3.25,6
1593,Ultimate Avengers (2006),2.75,2
1594,Ice Age 2: The Meltdown (2006),3.22,23
1595,Ask the Dust (2006),4.0,1
1596,V for Vendetta (2006),3.88,100
1597,She's the Man (2006),3.75,6
1598,Thank You for Smoking (2006),4.03,36
1599,Find Me Guilty (2006),3.0,1
1600,Inside Man (2006),3.8,40
1601,Tsotsi (2005),3.25,4
1602,Aquamarine (2006),2.0,2
1603,Lights in the Dusk (Laitakaupungin valot) (2006),3.5,1
1604,"Hills Have Eyes, The (2006)",3.08,6
1605,"Shaggy Dog, The (2006)",1.25,2
1606,Unknown White Male (2005),3.5,1
1607,"Lives of Others, The (Das leben der Anderen) (2006)",4.12,34
1608,Take the Lead (2006),3.75,2
1609,"Devil and Daniel Johnston, The (2005)",4.5,1
1610,Lucky Number Slevin (2006),3.86,38
1611,Volver (2006),3.81,8
1612,Akeelah and the Bee (2006),3.8,5
1613,Brainstorm (2001),2.5,1
1614,Stay Alive (2006),1.33,3
1615,Basic Instinct 2 (2006),2.17,3
1616,Brick (2005),3.88,12
1617,"Dead Hate the Living!, The (2000)",3.0,1
1618,Evil Aliens (2005),4.5,1
1619,This Film Is Not Yet Rated (2006),3.5,6
1620,Slither (2006),3.0,5
1621,"Benchwarmers, The (2006)",2.77,11
1622,Renaissance (2006),2.5,1
1623,Go for Zucker! (Alles auf Zucker!) (2004),5.0,1
1624,Friends with Money (2006),3.25,4
1625,Reefer Madness: The Movie Musical (2005),4.75,2
1626,Candy (2006),4.25,2
1627,"Child, The (L'enfant) (2005)",4.0,1
1628,9/11 (2002),5.0,1
1629,Scary Movie 4 (2006),2.25,12
1630,Hard Candy (2005),3.5,12
1631,"Prairie Home Companion, A (2006)",3.67,6
1632,"Sentinel, The (2006)",2.75,2
1633,"Wild, The (2006)",2.5,1
1634,Silent Hill (2006),2.96,12
1635,American Dreamz (2006),3.0,1
1636,Kinky Boots (2005),3.75,4
1637,"Protector, The (a.k.a. Warrior King) (Tom yum goong) (2005)",3.0,1
1638,Mission: Impossible III (2006),3.59,28
1639,RV (2006),2.0,3
1640,United 93 (2006),4.14,7
1641,Stick It (2006),2.58,6
1642,"American Haunting, An (2005)",1.5,2
1643,Down in the Valley (2005),3.25,2
1644,Over the Hedge (2006),3.43,14
1645,Art School Confidential (2006),3.33,6
1646,Poseidon (2006),2.88,4
1647,"Da Vinci Code, The (2006)",3.12,49
1648,X-Men: The Last Stand (2006),3.36,52
1649,"Break-Up, The (2006)",2.59,11
1650,Peaceful Warrior (2006),5.0,1
1651,Cars (2006),3.38,41
1652,"Notorious Bettie Page, The (2005)",3.0,2
1653,Game 6 (2005),2.5,1
1654,On a Clear Day (2005),2.0,1
1655,"Omen, The (2006)",2.3,5
1656,Nacho Libre (2006),2.46,14
1657,"Lake House, The (2006)",3.1,10
1658,Click (2006),2.98,23
1659,"Devil Wears Prada, The (2006)",3.56,34
1660,Pirates of the Caribbean: Dead Man's Chest (2006),3.51,72
1661,"You, Me and Dupree (2006)",2.17,6
1662,Clerks II (2006),3.88,13
1663,Lady in the Water (2006),2.83,9
1664,My Super Ex-Girlfriend (2006),1.58,6
1665,Marie Antoinette (2006),3.19,13
1666,Who Killed the Electric Car? (2006),3.7,5
1667,"Inconvenient Truth, An (2006)",3.58,13
1668,High School Musical (2006),2.0,3
1669,I Am a Sex Addict (2005),4.5,1
1670,Stoned (2005),2.0,1
1671,Jet Li's Fearless (Huo Yuan Jia) (2006),3.12,8
1672,"Fast and the Furious: Tokyo Drift, The (Fast and the Furious 3, The) (2006)",2.09,11
1673,Garfield: A Tail of Two Kitties (2006),2.25,2
1674,Metal: A Headbanger's Journey (2005),4.0,2
1675,Superman Returns (2006),3.08,25
1676,"Road to Guantanamo, The (2006)",3.5,1
1677,Edmond (2005),3.5,3
1678,"OH in Ohio, The (2006)",2.5,1
1679,Little Miss Sunshine (2006),3.88,77
1680,Babel (2006),3.5,31
1681,Strangers with Candy (2005),2.5,1
1682,Wordplay (2006),4.0,3
1683,Little Man (2006),1.0,1
1684,Monster House (2006),3.11,9
1685,Snakes on a Plane (2006),2.64,14
1686,Scoop (2006),3.38,4
1687,Talladega Nights: The Ballad of Ricky Bobby (2006),3.25,28
1688,Night at the Museum (2006),3.24,23
1689,World Trade Center (2006),2.67,6
1690,Stranger than Fiction (2006),3.69,44
1691,Miami Vice (2006),2.75,10
1692,"Pursuit of Happyness, The (2006)",3.79,46
1693,John Tucker Must Die (2006),2.72,9
1694,"Ant Bully, The (2006)",3.25,2
1695,Crank (2006),3.43,14
1696,"Secret Life of Words, The (2005)",4.0,1
1697,Chaos (2005),3.5,1
1698,"Night Listener, The (2006)",2.83,3
1699,Step Up (2006),3.5,4
1700,Zoom (2006),2.5,1
1701,Mind Game (2004),4.25,2
1702,Half Nelson (2006),4.0,5
1703,"Moustache, La (2005)",3.5,1
1704,Tideland (2005),3.0,3
1705,Adam's Apples (Adams æbler) (2005),4.17,3
1706,Material Girls (2006),2.0,1
1707,Accepted (2006),2.93,14
1708,"Illusionist, The (2006)",3.78,43
1709,The Queen (2006),3.73,13
1710,Beerfest (2006),3.5,6
1711,Invincible (2006),3.0,7
1712,Idlewild (2006),4.0,1
1713,Angel-A (2005),3.5,3
1714,"Puffy Chair, The (2006)",2.5,1
1715,"Wicker Man, The (2006)",1.0,4
1716,"Wind That Shakes the Barley, The (2006)",3.75,4
1717,Severance (2006),3.0,1
1718,Hollywoodland (2006),3.2,5
1719,"Covenant, The (2006)",3.0,1
1720,"Last Kiss, The (2006)",3.83,3
1721,SherryBaby (2006),2.5,1
1722,Idiocracy (2006),3.72,18
1723,Jesus Camp (2006),4.07,7
1724,"Bow, The (Hwal) (2005)",4.0,1
1725,"Tiger and the Snow, The (La tigre e la neve) (2005)",4.0,1
1726,"Fountain, The (2006)",3.5,14
1727,"Science of Sleep, The (La science des rêves) (2006)",3.86,11
1728,"Black Dahlia, The (2006)",3.25,6
1729,"Woods, The (2006)",3.0,1
1730,Gridiron Gang (2006),3.0,2
1731,Land of Plenty (Angst and Alienation in America) (2004),3.5,1
1732,"Bridge, The (2006)",4.0,1
1733,Apocalypto (2006),3.61,19
1734,Flyboys (2006),2.0,1
1735,Jackass Number Two (2006),3.57,7
1736,All the King's Men (2006),3.0,3
1737,Conversations with Other Women (2005),4.0,2
1738,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan (2006),3.35,65
1739,"Pan's Labyrinth (Laberinto del fauno, El) (2006)",3.81,81
1740,"Guardian, The (2006)",3.0,4
1741,Open Season (2006),3.0,2
1742,School for Scoundrels (2006),2.5,1
1743,"Departed, The (2006)",4.25,107
1744,"Texas Chainsaw Massacre: The Beginning, The (2006)",2.5,2
1745,Employee of the Month (2006),2.83,6
1746,Running With Scissors (2006),2.5,1
1747,Man of the Year (2006),2.5,3
1748,"Marine, The (2006)",2.75,2
1749,Infamous (2006),3.75,2
1750,Feast (2005),2.75,2
1751,Little Children (2006),3.88,4
1752,Deliver Us from Evil (2006),4.5,2
1753,"Last King of Scotland, The (2006)",3.98,20
1754,"U.S. vs. John Lennon, The (2006)",4.0,1
1755,Shortbus (2006),4.0,3
1756,Children of Men (2006),3.95,64
1757,"Prestige, The (2006)",4.01,90
1758,Flags of Our Fathers (2006),3.45,11
1759,13 Tzameti (2005),4.5,1
1760,Saw III (2006),3.05,11
1761,Catch a Fire (2006),3.25,2
1762,Death of a President (2006),3.25,2
1763,Flushed Away (2006),3.5,7
1764,Perfume: The Story of a Murderer (2006),3.25,8
1765,"Santa Clause 3: The Escape Clause, The (2006)",2.75,2
1766,"Good Year, A (2006)",3.67,3
1767,Shut Up & Sing (2006),3.0,3
1768,For Your Consideration (2006),2.38,4
1769,Fuck (2005),3.0,1
1770,Shooting Dogs (a.k.a. Beyond the Gates) (2005),4.0,1
1771,Casino Royale (2006),3.94,81
1772,Happy Feet (2006),2.68,11
1773,Let's Go to Prison (2006),1.33,3
1774,Déjà Vu (Deja Vu) (2006),3.3,20
1775,Bobby (2006),3.83,3
1776,10 Items or Less (2006),2.67,3
1777,"Holiday, The (2006)",3.21,24
1778,Harsh Times (2006),3.0,1
1779,Fast Food Nation (2006),3.83,3
1780,Tenacious D in The Pick of Destiny (2006),3.44,9
1781,"Nativity Story, The (2006)",3.5,2
1782,Blood Diamond (2006),3.76,53
1783,Charlotte's Web (2006),3.33,3
1784,Eragon (2006),2.33,12
1785,Rocky Balboa (2006),3.32,14
1786,Fur: An Imaginary Portrait of Diane Arbus (2006),3.0,1
1787,Another Gay Movie (2006),3.5,1
1788,"Painted Veil, The (2006)",4.0,4
1789,We Are Marshall (2006),3.75,2
1790,"Good Shepherd, The (2006)",3.14,7
1791,Dreamgirls (2006),3.1,5
1792,Freedom Writers (2007),3.75,4
1793,When the Levees Broke: A Requiem in Four Acts (2006),4.0,1
1794,Inland Empire (2006),3.67,6
1795,"History Boys, The (2006)",3.0,2
1796,Notes on a Scandal (2006),3.75,4
1797,DOA: Dead or Alive (2006),2.0,2
1798,Curse of the Golden Flower (Man cheng jin dai huang jin jia) (2006),2.5,3
1799,"Good German, The (2006)",3.0,1
1800,Letters from Iwo Jima (2006),3.71,17
1801,Black Christmas (2006),2.0,1
1802,Stomp the Yard (2007),2.5,2
1803,Miss Potter (2006),3.75,2
1804,American Pie Presents The Naked Mile (American Pie 5: The Naked Mile) (2006),1.17,3
1805,Venus (2006),3.5,2
1806,Primeval (2007),2.0,1
1807,Alpha Dog (2007),3.12,8
